t;y
0.00E+00;1.47E-02
3.34E-02;1.47E-02
6.68E-02;5.04E-03
1.00E-01;-1.70E-02
1.34E-01;-5.15E-02
1.67E-01;-7.77E-02
2.00E-01;-1.30E-01
2.34E-01;-1.94E-01
2.67E-01;-2.32E-01
3.00E-01;-3.08E-01
3.34E-01;-3.94E-01
3.67E-01;-4.31E-01
4.01E-01;-5.17E-01
4.34E-01;-6.12E-01
4.67E-01;-6.56E-01
5.01E-01;-7.50E-01
5.34E-01;-8.53E-01
5.67E-01;-9.00E-01
6.01E-01;-1.00E+00
6.34E-01;-1.10E+00
6.68E-01;-1.15E+00
7.01E-01;-1.26E+00
7.34E-01;-1.37E+00
7.68E-01;-1.42E+00
8.01E-01;-1.52E+00
8.34E-01;-1.64E+00
8.68E-01;-1.69E+00
9.01E-01;-1.80E+00
9.35E-01;-1.90E+00
9.68E-01;-1.96E+00
1.00E+00;-2.06E+00
